5,26,1,8,8,10,6,36,0.62,1.133
25,8,0,1,21,22,6,17,0.559,0.913
4,7,11,18,9,12,7,32,0.683,1.168
2,13,3,24,7,30,6,15,0.076,0.044
31,0,0,19,4,24,0,22,0.287,0.386
9,2,3,21,30,8,2,25,1.54,2.531
20,12,2,6,19,24,4,13,0.281,0.309
3,15,3,6,27,1,13,32,1.623,2.042
7,1,17,20,11,33,3,8,0.236,0.147
4,6,10,4,6,17,27,26,0.32,0.362
14,4,9,7,36,12,4,14,1.446,1.813
4,32,5,4,0,41,12,2,0.164,0.044
9,11,18,5,19,0,5,33,1.631,2.052
20,6,3,17,11,20,6,17,0.191,0.301
11,10,14,21,4,21,1,18,0.123,0.077
2,7,36,3,4,0,9,39,1.311,2.226
9,12,5,19,11,24,9,11,0.103,0.079
38,2,2,5,23,24,1,5,0.332,0.366
23,2,5,4,23,28,15,0,0.18,0.169
9,25,1,1,13,18,19,14,0.122,0.123
0,23,9,4,7,33,23,1,0.078,0.034
6,6,24,12,3,32,13,4,0.136,0.106
14,22,6,15,12,10,1,20,0.316,0.538
3,6,17,22,24,13,4,11,0.247,0.398
4,12,17,3,38,16,9,1,0.458,0.496
12,3,9,21,1,21,19,14,0.181,0.206
5,8,36,6,11,7,5,22,0.75,1.083
9,6,1,18,8,24,28,6,0.067,0.054
4,19,17,8,17,1,10,24,0.91,0.993
48,4,6,1,0,15,8,18,0.203,0.237
7,3,16,1,14,19,33,7,0.118,0.108
0,10,32,5,5,13,18,17,0.335,0.431
4,19,4,19,16,12,14,12,0.156,0.161
7,2,26,6,39,1,8,11,0.99,1.331
12,6,1,34,7,22,12,6,0.077,0.058
2,11,8,6,20,13,32,8,0.116,0.115
7,22,11,0,18,22,20,0,0.137,0.122
0,5,30,10,7,5,21,22,0.46,0.656
12,1,43,6,16,7,0,15,0.596,0.806
16,17,16,4,14,11,10,12,0.207,0.267
3,14,10,15,32,7,12,7,0.353,0.523
8,0,0,11,6,1,50,24,0.182,0.306
2,15,20,22,6,0,10,25,0.47,0.949
2,13,6,28,24,14,12,1,0.138,0.165
18,32,1,1,30,2,7,9,0.389,0.495
2,28,11,17,9,2,12,19,0.365,0.515
7,30,12,7,17,4,10,13,0.36,0.368
3,13,26,6,4,2,25,21,0.449,0.591
10,2,19,6,22,12,27,2,0.167,0.209
6,1,18,16,1,10,34,14,0.156,0.158
20,4,5,16,16,16,23,0,0.096,0.065
4,45,7,13,0,19,7,5,0.083,0.064
17,3,15,15,23,4,16,7,0.318,0.423
47,8,2,3,15,2,10,13,0.302,0.499
4,11,37,22,6,15,1,4,0.157,0.256
14,31,8,1,34,3,7,2,0.405,0.466
8,24,3,15,4,10,28,8,0.111,0.098
16,17,8,11,11,0,23,14,0.256,0.447
25,0,42,3,6,6,8,10,0.348,0.405
8,2,32,21,1,16,18,2,0.11,0.149
15,20,4,10,5,11,30,5,0.089,0.062
20,18,23,4,18,6,8,3,0.22,0.323
57,11,5,3,12,5,1,6,0.276,0.294
12,14,27,27,2,8,3,7,0.179,0.211
19,3,10,31,22,3,10,2,0.17,0.257
27,40,12,1,0,5,4,11,0.156,0.151
8,19,53,2,8,1,1,8,0.433,0.566
36,12,5,12,7,9,19,0,0.089,0.076
22,10,24,6,10,3,21,4,0.217,0.24
27,40,4,11,14,3,0,1,0.137,0.164
7,63,6,4,0,6,10,4,0.112,0.079
54,12,13,9,1,6,2,3,0.14,0.197
13,14,36,6,2,6,21,2,0.12,0.189
20,25,13,24,2,3,11,2,0.11,0.151
26,13,1,5,5,0,49,1,0.091,0.072
100,0,0,0,0,0,0,0,0.154,0.156
0,100,0,0,0,0,0,0,0.084,0.058
0,0,100,0,0,0,0,0,0.327,0.52
0,0,0,100,0,0,0,0,0.096,0.136
0,0,0,0,0,0,100,0,0.073,0.034
100,0,0,0,0,0,0,0,0.142,0.229
0,100,0,0,0,0,0,0,0.079,0.063
0,0,100,0,0,0,0,0,0.328,0.627
0,0,0,100,0,0,0,0,0.097,0.142
0,0,0,0,0,0,100,0,0.068,0.05
17,15,2,10,4,29,15,8,0.085,0.046
3,4,16,31,9,13,5,19,0.161,0.344
24,5,24,14,1,5,0,27,0.703,1.463
2,26,2,1,20,22,25,2,0.08,0.059
3,13,44,1,23,7,2,7,0.42,0.917
5,23,0,0,34,16,7,15,0.596,1.094
37,16,30,3,3,2,3,6,0.193,0.374
33,12,21,0,11,12,1,10,0.203,0.366
16,7,4,14,32,8,11,8,0.25,0.554
7,27,23,9,8,13,4,9,0.139,0.25
7,0,43,3,18,2,21,6,0.29,0.719
22,11,8,5,12,13,5,24,0.458,0.992
19,1,2,21,7,1,12,37,0.831,2.089
1,25,3,0,25,0,12,34,1.434,2.375
7,25,13,1,14,0,11,29,0.862,1.825
8,12,0,18,12,11,26,13,0.105,0.196
21,22,0,12,6,18,13,8,0.076,0.078
12,30,19,1,2,11,2,23,0.262,0.616
14,14,20,10,20,1,20,1,0.17,0.322
20,1,17,9,5,11,33,4,0.129,0.187
7,3,31,28,3,9,14,5,0.129,0.234
32,1,8,0,16,3,32,8,0.177,0.379
6,4,29,9,6,37,1,8,0.195,0.108
5,1,17,39,2,14,11,11,0.106,0.242
9,36,9,14,18,0,6,8,0.214,0.542
1,3,12,11,20,25,28,0,0.085,0.092
0,12,4,7,4,11,52,10,0.084,0.091
3,2,17,12,4,3,52,7,0.114,0.155
8,9,22,0,14,26,9,12,0.148,0.164
35,15,15,18,7,4,2,4,0.152,0.319
18,16,5,9,13,24,12,3,0.088,0.103
29,3,8,4,6,1,24,25,0.378,1.134
12,12,20,21,14,6,6,9,0.206,0.55
25,1,14,17,9,3,21,10,0.15,0.381
0,19,22,9,28,8,0,14,0.638,1.377
19,7,11,4,27,26,1,5,0.198,0.269
40,15,2,12,5,0,25,1,0.11,0.235
7,34,32,9,4,2,9,3,0.119,0.324
11,6,14,17,5,31,16,0,0.108,0.084
15,3,3,36,16,8,19,0,0.092,0.135
5,26,3,12,30,10,5,9,0.222,0.507
9,4,12,18,7,3,43,4,0.107,0.158
6,12,11,31,15,4,18,3,0.114,0.2
12,1,15,15,35,0,20,2,0.257,0.736
7,15,21,14,7,2,30,4,0.11,0.251
4,16,11,44,6,14,5,0,0.084,0.154
28,3,9,18,14,4,1,23,0.542,1.258
12,4,23,24,8,4,19,6,0.15,0.254
11,13,21,20,21,2,12,0,0.186,0.403
4,33,27,10,0,6,11,9,0.151,0.341
2,4,14,10,26,20,23,1,0.1,0.148
5,34,3,9,2,3,1,43,1.011,2.507
0,20,0,33,10,16,6,15,0.123,0.233
15,8,11,17,0,3,44,2,0.092,0.103
36,0,11,4,10,0,19,20,0.473,1.01
0,5,33,9,3,12,21,17,0.224,0.354
18,17,18,9,22,12,4,0,0.183,0.348
16,10,0,10,0,6,25,33,0.333,0.778
40,9,31,2,8,0,6,4,0.303,0.762
3,35,21,8,1,20,8,4,0.096,0.107
16,19,32,1,9,22,1,0,0.109,0.118
29,0,18,18,14,8,5,8,0.287,0.474
16,12,5,11,14,9,6,27,0.545,1.124
17,17,12,4,11,9,2,28,0.642,1.28
1,1,26,11,2,13,19,27,0.399,0.898
6,11,17,2,36,7,5,16,1.045,1.987
7,26,14,3,0,30,11,9,0.106,0.095
11,10,26,4,0,5,4,40,1.263,2.524
2,19,7,9,22,28,3,10,0.158,0.136
23,45,6,1,9,0,1,15,0.337,0.604
6,14,38,7,1,15,17,2,0.116,0.149
10,11,19,30,14,12,0,4,0.164,0.299
15,11,10,1,11,34,15,3,0.142,0.07
13,1,5,13,20,25,11,12,0.183,0.248
19,19,11,2,6,20,22,1,0.102,0.104
36,10,1,10,0,35,4,4,0.121,0.06
0,6,35,15,29,11,1,3,0.48,0.853
4,10,17,30,9,13,10,7,0.148,0.12
21,10,7,17,20,11,11,3,0.166,0.156
7,7,19,0,19,12,27,9,0.167,0.158
27,15,5,10,13,12,10,8,0.139,0.115
32,19,6,7,28,7,0,1,0.229,0.257
2,2,12,21,35,12,8,8,0.372,0.417
1,19,37,16,17,1,3,6,0.389,0.455
12,1,25,5,5,23,7,22,0.186,0.146
6,37,6,7,14,0,0,30,1.085,1.361
7,28,13,1,1,13,22,15,0.121,0.088
18,3,19,2,0,37,15,6,0.111,0.053
27,7,19,11,15,12,0,9,0.259,0.254
24,2,27,14,3,13,4,13,0.229,0.233
9,2,0,23,1,12,29,24,0.168,0.119
10,3,37,11,3,8,2,26,0.62,0.726
36,9,17,5,9,15,0,9,0.211,0.226
36,0,8,19,3,15,9,10,0.119,0.111
44,17,15,7,2,12,3,0,0.106,0.08
21,42,5,19,4,8,0,1,0.097,0.082
14,34,19,1,12,2,18,0,0.138,0.153
16,5,10,31,2,2,29,5,0.127,0.125
12,28,15,10,11,14,3,7,0.166,0.111
6,20,36,7,8,6,4,13,0.323,0.381
15,22,16,0,3,4,40,0,0.09,0.065
7,53,1,0,7,11,18,3,0.076,0.046
3,2,54,7,5,12,14,3,0.166,0.169
26,9,11,20,4,15,10,5,0.095,0.082
18,17,13,31,0,0,6,15,0.35,0.353
2,15,11,14,15,29,11,3,0.137,0.103
28,1,2,24,19,9,13,4,0.144,0.153
20,12,3,14,7,5,3,36,0.845,1.432
4,3,20,1,5,5,46,16,0.167,0.189
4,18,26,19,3,16,11,3,0.097,0.085
43,7,6,4,0,29,5,6,0.076,0.045
3,5,19,26,10,5,23,9,0.174,0.188
4,4,7,7,24,5,17,32,1.342,1.813
18,9,22,2,13,7,15,14,0.293,0.345
11,25,0,14,35,10,5,0,0.161,0.197
7,26,14,13,3,3,5,29,0.44,0.833
30,2,18,0,15,27,4,4,0.172,0.105
3,1,24,4,17,14,20,17,0.19,0.207
1,22,8,4,38,16,7,4,0.311,0.303
5,3,5,17,34,4,20,12,0.585,0.57
21,2,1,3,4,7,28,34,0.371,0.57
40,1,2,0,5,24,13,15,0.104,0.087
12,7,4,2,39,15,19,2,0.196,0.263
2,8,15,22,22,29,2,0,0.103,0.091
23,6,15,6,14,13,15,8,0.148,0.207
51,0,7,20,4,10,7,1,0.106,0.1
4,3,15,26,1,0,47,4,0.115,0.11
15,5,7,8,22,31,8,4,0.179,0.121
7,26,5,9,8,39,1,5,0.116,0.048
2,23,7,12,20,24,8,4,0.111,0.093
6,6,9,20,5,30,8,16,0.085,0.06
17,28,10,26,8,2,4,5,0.141,0.178
0,8,10,9,4,9,49,11,0.111,0.086
8,7,2,33,26,0,19,5,0.192,0.278
12,0,15,4,0,5,53,11,0.153,0.113
5,22,15,0,10,18,22,8,0.132,0.085
5,12,10,5,17,24,17,10,0.151,0.122
3,18,15,18,3,40,0,3,0.082,0.039
6,21,15,7,27,2,20,2,0.223,0.289
23,25,10,0,3,4,32,3,0.102,0.091
5,9,20,18,19,19,7,3,0.133,0.129
17,22,3,1,11,15,7,24,0.321,0.38
11,11,20,20,13,19,3,3,0.161,0.118
7,23,0,12,19,8,30,1,0.11,0.087
24,6,15,13,8,3,30,1,0.146,0.129
12,17,3,2,30,4,6,26,1.732,2.196
4,2,28,2,19,8,35,2,0.181,0.16
14,34,22,6,3,9,5,7,0.156,0.146
4,9,18,10,25,0,16,18,0.813,1.119
13,8,26,30,1,4,13,5,0.258,0.187
8,3,41,8,23,1,2,14,1.066,1.243
17,6,21,0,2,3,35,16,0.287,0.302
16,4,9,25,16,4,24,2,0.164,0.178
9,21,23,12,0,19,7,9,0.135,0.108
2,47,6,13,2,0,23,7,0.143,0.144
23,1,25,10,13,7,17,4,0.223,0.218
1,3,50,7,7,7,23,2,0.295,0.246
15,1,16,19,32,11,6,0,0.319,0.399
10,4,3,4,5,9,42,23,0.19,0.19
2,6,17,7,22,20,24,2,0.162,0.117
22,21,9,8,29,5,4,2,0.335,0.351
6,3,44,24,7,5,10,1,0.24,0.248
25,4,10,17,12,4,5,23,0.847,0.96
8,31,3,3,2,2,4,47,1.696,2.197
13,2,1,36,8,20,11,9,0.092,0.066
24,18,0,43,0,6,1,8,0.117,0.116
11,12,2,25,0,3,28,19,0.172,0.182
12,2,40,8,5,20,5,8,0.245,0.24
5,3,48,3,8,7,5,21,0.774,0.835
2,1,76,7,1,2,6,5,0.356,0.385
7,45,18,1,5,3,4,17,0.34,0.387
51,10,14,0,0,16,9,0,0.101,0.079
13,1,7,16,0,11,49,3,0.078,0.047
1,5,41,15,7,19,1,11,0.292,0.296
7,20,6,7,1,28,21,10,0.096,0.048
11,24,7,39,8,8,0,3,0.13,0.114
7,28,19,20,7,2,15,2,0.145,0.139
2,22,0,18,5,18,31,4,0.074,0.045
2,7,2,69,15,3,2,0,0.131,0.135
6,13,2,17,12,33,14,3,0.082,0.044
7,1,10,20,13,6,6,37,1.338,2.378
9,23,15,16,11,4,22,0,0.117,0.116
18,10,19,2,11,18,1,21,0.606,0.707
26,10,0,18,17,9,3,17,0.275,0.389
5,1,13,18,14,16,27,6,0.13,0.113
25,9,0,2,17,20,11,16,0.222,0.254
4,0,21,11,22,5,21,16,0.473,0.601
13,2,42,11,6,6,10,10,0.31,0.374
26,5,2,24,4,10,27,2,0.088,0.075
9,20,9,30,16,1,2,13,0.369,0.548
36,0,10,33,1,10,8,2,0.109,0.115
5,7,5,34,17,1,15,16,0.373,0.534
2,4,57,19,2,2,2,12,0.488,0.636
36,5,16,3,1,6,15,18,0.283,0.378
10,19,23,9,5,8,24,2,0.104,0.107
28,0,4,12,32,14,3,7,0.356,0.639
1,7,20,24,1,4,17,26,0.371,0.537
5,23,14,9,7,7,11,24,0.382,0.507
3,2,7,27,19,4,5,33,1.404,2.143
3,5,38,28,1,2,21,2,0.182,0.191
22,14,11,6,6,5,3,33,0.883,1.508
14,20,4,0,5,6,35,16,0.158,0.182
31,4,3,35,10,2,10,5,0.141,0.198
2,9,11,36,0,18,1,23,0.219,0.348
8,10,8,15,8,24,13,14,0.204,0.224
11,14,6,20,8,25,12,4,0.089,0.061
13,14,38,3,19,0,4,9,0.668,0.926
28,17,42,2,0,3,0,8,0.298,0.418
37,16,9,7,18,6,3,4,0.225,0.327
13,5,4,9,39,5,21,4,0.326,0.503
8,10,11,22,9,0,37,3,0.122,0.123
2,27,14,0,18,11,7,21,0.519,0.69
7,6,21,10,5,28,7,16,0.165,0.137
23,15,11,15,21,4,10,1,0.241,0.29
3,34,17,11,26,0,8,1,0.288,0.418
42,20,15,4,10,4,1,4,0.235,0.322
11,2,13,16,2,9,19,28,0.402,0.622
2,3,6,6,6,11,30,36,0.52,0.811
0,26,26,3,19,6,13,7,0.328,0.314
29,6,15,8,13,17,12,0,0.153,0.133
2,6,35,7,1,30,14,5,0.102,0.077
18,24,10,8,10,5,16,9,0.182,0.217
3,1,9,8,36,32,11,0,0.29,0.26
43,1,4,15,21,4,7,5,0.324,0.474
18,30,0,3,14,16,10,9,0.174,0.179
6,0,19,6,14,22,33,0,0.133,0.119
1,3,2,3,33,0,31,27,1.466,2.056
7,36,2,9,25,2,0,19,1.007,1.168
14,7,0,2,29,0,41,7,0.265,0.384
1,9,37,15,3,3,8,24,0.768,1.082
